a,sigma,k,u_hat,delta,outcome
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,decrease
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.0297,0.01,0.2,0.2,0.00120779,increase
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,increase
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,increase
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.00029,0.01,0.2,0.2,-2.22E-05,decrease
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,increase
0.03,0.01,0.2,0.2,0.001219991,increase
